city,year,gap_to_gdp,re_invest_dependence
杭州,2011,-0.0053625414229255,0.1711781919516288
杭州,2012,-0.0094475775442194,0.2047372468597795
杭州,2013,-0.010722093313134,0.2221220779718871
杭州,2014,-0.0071843200639571,0.2500477940856991
杭州,2015,-0.0028258115999566,0.2460247099314342
杭州,2016,0.0001705893375476,0.2303760390039704
杭州,2017,-0.0021026139061329,0.2169421487603305
杭州,2018,-0.0079931009723039,0.2271719538238897
杭州,2019,-0.0008534443504846,0.2209555714564496
杭州,2020,-0.0014733639637402,0.2219874580901527
杭州,2021,0.0003009483462198,0.20035594734674
杭州,2022,0.0048781346200915,0.2073847108766724
杭州,2023,0.0009681439752729,0.219387307443043
杭州,2024,0.0022881641256852,0.1931431012903745
武汉,2006,0.0305740400500239,0.1413291852583797
武汉,2007,0.027228746936567,0.1463286546357299
武汉,2008,0.0253934263954263,0.1415021918749116
武汉,2009,0.0405907812161869,0.1684895044362692
武汉,2010,0.0347401139079034,0.1827916419626655
武汉,2011,0.0135725059891751,0.1896202419330987
武汉,2012,0.0071178690122191,0.1967640370823858
武汉,2013,0.0159491430484341,0.210533991362538
武汉,2014,0.0073568843674151,0.2337389815561479
武汉,2015,0.0084745451877934,0.2367398400821596
武汉,2016,0.0170055092880569,0.211325645681341
武汉,2017,0.0242611298445826,0.20031856015582
武汉,2018,0.0269820283701604,0.1872402303720073
武汉,2019,0.0414830795783763,0.1828397953522776
武汉,2020,0.0754047131147541,0.1778400358606557
武汉,2021,0.0359727173591559,0.1837028892415995
武汉,2022,0.0380787462174878,0.1784540053417631
武汉,2023,0.0301259244453327,0.172240655606636
武汉,2024,0.0385521241832387,0.1578718700592195
西安,2006,0.022616850333858,0.1939091254546441
西安,2007,0.0274021533908251,0.2196084434692384
西安,2008,0.0371591386458694,0.249178097203704
西安,2009,0.0350403817914831,0.2548568281938326
西安,2010,0.0400308499151627,0.2598611753817677
西安,2011,0.0455539424617192,0.2577810212177909
西安,2012,0.0459288609972286,0.2908614094958888
西安,2013,0.046646997520541,0.3219918388740677
西安,2014,0.0429210725625564,0.3172026566459844
西安,2015,0.0458956767565331,0.3138747155760877
西安,2016,0.0481766546591275,0.312572117151816
西安,2017,0.0522888679156877,0.2991813757973721
西安,2018,0.0559494410684729,0.2651158223012122
西安,2019,0.0584121875335264,0.2154597146228945
西安,2020,0.0622195608782435,0.2060508982035928
西安,2021,0.0578783489953481,0.1848080327236936
西安,2022,0.0640516571177842,0.1795018678432352
西安,2023,0.0648197485638165,0.1708458912663392
西安,2024,0.0420107555463448,0.1610448588278226
郑州,2006,0.0057760692929654,0.1141754574170093
郑州,2007,0.008509098220569,0.1201407459535538
郑州,2008,0.0096904450414282,0.1447940905262667
郑州,2009,0.015456469165659,0.1548730350665054
郑州,2010,0.0098987849241505,0.1918285530451137
郑州,2011,0.0129040031326244,0.1860116268562305
郑州,2012,0.0169465566326714,0.1973296335003063
郑州,2013,0.014922846224544,0.2330463245134555
郑州,2014,0.0124878448986939,0.2572690825868121
郑州,2015,0.0223099984681707,0.2735682867584305
郑州,2016,0.0382488473583215,0.3424895581324554
郑州,2017,0.0501938621278832,0.3678824122144093
郑州,2018,0.0602642921646955,0.3212370308735207
郑州,2019,0.0593735979292493,0.289030198446937
郑州,2020,0.0384013662112629,0.2856364545151616
郑州,2021,0.0315821738520623,0.2433909961531855
郑州,2022,0.0251741439693228,0.1668836540468661
郑州,2023,0.0259781171978264,0.1368681157291819
郑州,2024,0.0255070337536221,0.1282907390344252
长沙,2006,0.0190999244007648,0.1689087028060657
长沙,2007,0.0199018376897614,0.1858463645702545
长沙,2008,0.0183240141553759,0.1643696392511779
长沙,2009,0.0180907877169559,0.132803738317757
长沙,2010,0.0195839106243539,0.1504475379912471
长沙,2011,0.0169255053538411,0.1647901084292967
长沙,2012,0.0209331395803059,0.1616197128080126
长沙,2013,0.0230933870906861,0.1618354482583149
长沙,2014,0.0216720917185209,0.1678788366746285
长沙,2015,0.0242123210808765,0.1183107661105059
长沙,2016,0.0318192651206434,0.1347186197152692
长沙,2017,0.0362820594351863,0.1417529858545053
长沙,2018,0.0382681368775679,0.1371138583402781
长沙,2019,0.0411050630724036,0.1445446690858821
长沙,2020,0.0330346701803508,0.1539883060199292
长沙,2021,0.026621052393619,0.168557800266753
长沙,2022,0.0260817077912174,0.1633583009155735
长沙,2023,0.0278928272397432,0.1317820262349986
长沙,2024,0.026157951060923,0.1121884001210312
