city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth
北京,2022,5714.36,7469.15,45222.4,1754.79,0.03880355752901217,-0.03673948259615578,0.03664477482678974
北京,2023,6181.1,7971.25,47353.7,1790.1499999999996,0.03780380413779704,0.08167843818030374,0.06722317800552946
北京,2024,6372.68,8396.49,49670.2,2023.8099999999995,0.040744953714702166,0.030994483182605004,0.05334671475615482
北京,2025,,,,,,0.0,0.0
南京,2006,246.44,262.46,2773.78,16.019999999999982,0.005775512117038835,,
南京,2007,330.19,342.94,3283.73,12.75,0.003882779643880587,0.33983931180003246,0.3066372018593311
南京,2008,386.56,404.67,3775.0,18.110000000000014,0.004797350993377487,0.17071988854901732,0.18000233276958078
南京,2009,434.51,461.27,4230.0,26.75999999999999,0.006326241134751771,0.12404283940397343,0.1398670521659624
南京,2010,518.8,542.18,5130.7,23.379999999999995,0.004556883076383339,0.19398863087155638,0.17540702842153189
南京,2011,635.0,666.21,6145.52,31.210000000000036,0.005078496205365866,0.2239784117193524,0.2287616658674243
南京,2012,733.02,769.66,7201.6,36.639999999999986,0.0050877582759386785,0.1543622047244093,0.1552813677368996
南京,2013,831.31,850.91,8011.78,19.600000000000023,0.002446397679417061,0.134089110801888,0.10556609411948137
南京,2014,903.49,921.2,8820.75,17.710000000000036,0.002007765779553897,0.0868268155080536,0.08260568097683674
南京,2015,1020.03,1045.57,9720.77,25.539999999999964,0.0026273638816678062,0.12898869937686075,0.13500868432479352
南京,2016,1142.6,1173.84,10503.02,31.24000000000001,0.0029743826061456617,0.12016313245688837,0.12267949539485645
南京,2017,1271.91,1354.09,11715.1,82.17999999999984,0.0070148782340739586,0.1131717136355681,0.1535558508825734
南京,2018,1470.02,1532.72,12820.4,62.700000000000045,0.004890643037658735,0.1557578759503424,0.13191885325199948
南京,2019,1580.03,1658.07,14031.0,78.03999999999996,0.0055619699237402865,0.07483571652086374,0.081782713085234
南京,2020,1637.7,1754.62,14818.0,116.91999999999985,0.007890403563233894,0.036499306975184,0.05823035215642269
南京,2021,1729.52,1817.73,16356.0,88.21000000000004,0.005393127904133042,0.0560664346339379,0.03596790188188903
南京,2022,1558.21,1828.69,16907.85,270.48,0.015997303027883502,-0.09905060363569085,0.006029498330335059
南京,2023,1619.98,1838.7,17421.0,218.72000000000003,0.0125549624016991,0.03964164008702298,0.005473863804144052
南京,2024,1596.02,1705.26,18500.81,109.24000000000001,0.005904606338857596,-0.014790306053161117,-0.0725730135421766
南京,2025,,,,,,0.0,0.0
南宁,2006,56.62,93.08,870.15,36.46,0.0419008216974085,,
南宁,2007,70.15,118.0,1069.01,47.849999999999994,0.04476104058895613,0.23896149770399178,0.2677266867211001
南宁,2008,191.17,166.08,1316.21,-25.089999999999975,-0.019062307686463387,1.7251603706343546,0.4074576271186441
南宁,2009,120.46,203.55,1525.0,83.09000000000002,0.054485245901639355,-0.36988021133022964,0.22561416184971095
南宁,2010,156.1,261.28,1800.3,105.17999999999998,0.0584235960673221,0.2958658475842604,0.28361581920903944
南宁,2011,186.29,302.31,2211.4,116.02000000000001,0.05246450212535046,0.19340166559897498,0.1570345988977344
南宁,2012,229.72,376.51,2503.2,146.79,0.058640939597315436,0.23313113962102094,0.24544341900697964
南宁,2013,256.25,418.4,2803.54,162.14999999999998,0.057837591045606616,0.1154884206860527,0.11125866510849636
南宁,2014,274.85,465.78,3148.3,190.92999999999995,0.06064542769113488,0.0725853658536586,0.11324091778202683
南宁,2015,297.05,526.72,3410.09,229.67000000000002,0.06735012858898153,0.08077132981626334,0.13083429945467828
南宁,2016,312.79,586.98,3703.33,274.19,0.07403877051194466,0.05298771250631207,0.11440613608748484
南宁,2017,332.15,646.37,4118.83,314.22,0.07628865478788881,0.061894561846606244,0.10117891580633076
南宁,2018,358.96,697.99,4026.91,339.03000000000003,0.08419110434551555,0.0807165437302424,0.07986137970512242
